"From"	"To"
"1007_s_at"	"DDR1"
"1053_at"	"RFC2"
"117_at"	"HSPA6"
"1294_at"	"UBA7"
"1405_i_at"	"CCL5"
"1487_at"	"ESRRA"
"1552256_a_at"	"SCARB1"
"1552257_a_at"	"TTLL12"
"1552264_a_at"	"MAPK1"
"1552274_at"	"PXK"
"1552275_s_at"	"PXK"
"1552277_a_at"	"MSANTD3"
"1552287_s_at"	"AFG3L1P"
"1552291_at"	"PIGX"
"1552295_a_at"	"SLC39A13"
"1552302_at"	"TMEM106A"
"1552303_a_at"	"TMEM106A"
"1552309_a_at"	"NEXN"
"1552310_at"	"C15orf40"
"1552311_a_at"	"RAX2"
"1552316_a_at"	"GIMAP1"
"1552318_at"	"GIMAP1"
"1552334_at"	"TRIOBP"
"1552343_s_at"	"PDE7A"
"1552347_at"	"CRYZL1"
"1552426_a_at"	"TM2D3"
"1552455_at"	"PRUNE2"
"1552467_at"	"DSCR10"
"1552474_a_at"	"GAMT"
"1552485_at"	"LACTB"
"1552486_s_at"	"LACTB"
"1552504_a_at"	"BRSK1"
"1552516_a_at"	"HIPK1"
"1552610_a_at"	"JAK1"
"1552611_a_at"	"JAK1"
"1552617_a_at"	"COP1"
"1552618_at"	"STX6"
"1552619_a_at"	"ANLN"
"1552621_at"	"POLR2J2"
"1552621_at"	"POLR2J3"
"1552622_s_at"	"PMS2P5"
"1552622_s_at"	"POLR2J2"
"1552622_s_at"	"PMS2P13"
"1552622_s_at"	"POLR2J3"
"1552625_a_at"	"TRNT1"
"1552628_a_at"	"HERPUD2"
"1552664_at"	"FLCN"
"1552701_a_at"	"CARD16"
"1552703_s_at"	"CARD16"
"1552703_s_at"	"CASP1"
"1552733_at"	"KLHDC1"
"1552735_at"	"PCDHGA4"
"1552767_a_at"	"HS6ST2"
"1552789_at"	"SEC62"
"1552790_a_at"	"SEC62"
"1552846_s_at"	"RAB42"
"1552889_a_at"	"EXOC3L2"
"1552931_a_at"	"PDE8A"
"1552977_a_at"	"CNPY3"
"1552978_a_at"	"SCAMP1"
"1553096_s_at"	"BCL2L11"
"1553101_a_at"	"ALKBH5"
"1553103_at"	"NFX1"
"1553113_s_at"	"CDK8"
"1553117_a_at"	"STK38"
"1553118_at"	"THEM4"
"1553145_at"	"TAPT1"
"1553172_at"	"ZNF777"
"1553185_at"	"RASEF"
"1553186_x_at"	"RASEF"
"1553218_a_at"	"ZNF512"
"1553274_a_at"	"SNRNP48"
"1553297_a_at"	"CSF3R"
"1553349_at"	"ARID2"
"1553407_at"	"MACF1"
"1553407_at"	"KIAA0754"
"1553510_s_at"	"CNOT9"
"1553528_a_at"	"TAF5"
"1553530_a_at"	"ITGB1"
"1553530_a_at"	"ITGB1P1"
"1553535_a_at"	"RANGAP1"
"1553538_s_at"	"COX1"
"1553551_s_at"	"ND2"
"1553567_s_at"	"ATP6"
"1553569_at"	"COX2"
"1553570_x_at"	"COX2"
"1553575_at"	"ND6"
"1553581_s_at"	"SREK1IP1"
"1553587_a_at"	"POLE4"
"1553588_at"	"ND3"
"1553588_at"	"SH3KBP1"
"1553613_s_at"	"FOXC1"
"1553677_a_at"	"TIPRL"
"1553678_a_at"	"ITGB1"
"1553689_s_at"	"METTL6"
"1553693_s_at"	"CBR4"
"1553694_a_at"	"PIK3C2A"
"1553696_s_at"	"ZNF569"
"1553703_at"	"ZNF791"
"1553704_x_at"	"ZNF791"
"1553709_a_at"	"PRPF38A"
"1553715_s_at"	"MCRIP2"
"1553715_s_at"	"LOC100287175"
"1553718_at"	"ZNF548"
"1553728_at"	"LRRC43"
"1553743_at"	"METTL21A"
"1553803_at"	"SPATA32"
"1553906_s_at"	"FGD2"
"1553909_x_at"	"SLF2"
"1553954_at"	"ALG14"
"1553955_at"	"PPP1R21"
"1553956_at"	"TMEM237"
"1553957_at"	"ZNF564"
"1553959_a_at"	"B3GALT6"
"1553960_at"	"SNX21"
"1553961_s_at"	"SNX21"
